video link,video views,uploaded date,comments,likes,dislikes
https://www.youtube.com/watch?v=Scg59_McA8Q,"150,800 views","Nov 7, 2019","['Meesho App को डाउनलोड करे और फ्री में 10 हज़ार तक कमाए  - https://meesho.com/invite/PRAVEEN837 and Watch the Meesho tutorial to earn from this App(100% Free) - https://www.youtube.com/watch?v=LE0hE0aJzxk', 'जितना बड़ा सपना होगा \nउतनी बड़ी तकलीफें होंगी\n\nऔर जीतनी बड़ी तकलीफें होंगी', 'There is no any Particular Degree required for DS\nyou Need To focus on\n\nYes to Become a data scientist you required:', 'India ma ITI aur polytechnic ki kya future ha a bataye...\n\ninterested people can like my comment  ❤️❤️', ""Sir I have completed my graduation in Arts stream So I'm eligible this course"", 'In hyderabad a 12 year boy studying 7th class become data scientist ,', 'Will data scientist job take over AI?\nOr will it automated?🤔\n What do you think?', 'Sir, I am a mathematics student what steps, i must take to became a data scientist?', 'What about arts background person who have work experience in gis field of 14 years...is it useful for him???please reply', 'Sir, you explained this very good. Please make a video on Software developer also']",7.3K,249
https://www.youtube.com/watch?v=sA3EY5Hq6-E,549 views,"Jun 12, 2020",['hello there friend oPft'],20,0
https://www.youtube.com/watch?v=MYU9W34dZh0,"5,619 views","Jul 21, 2020","['i could not go without typing this comment, THANK YOU SOO MUCH, THIS IS BY FAR THE BEST PANDAS INTRODUCTION I HAD AND IT ALL MAKES SENSE NOW, thank you for this channel in general it is an incredible asset', 'This is something that was missing in the Udemy course so I was thinking where to look for Pandas ? And then I got notification about this video. Hope you release the next video soon and take us through the Pandas in more detail.', 'If you want to try something like this without going through the whole installation process, google colab is a very good alternative too. \n(Especially when you get to more advanced topics. Installing tensorflow with gpu support for example can be quite tedious)', ""Great intro, thanks. I don't spend a lot of time in the os libraries so the os.path.join method was a nice find for me."", ""Hi sir,, i got a key error on particular this line \n           df [' country']\nHow to fix this ,could u please tel me"", 'i am learning data analysis currently and this helped me a lot, thank you !', 'Waiting for this since long time..❤️', 'Appreciate your content 👌🏻✌🏻', 'What you have been doing during the lockdown', 'Brother do not worry about how many views show up daily ... I wish I could see your video daily ... Love ✌️❣️']",424,1
https://www.youtube.com/watch?v=imMPnCHvbkY,"8,337 views","Mar 6, 2020","['Great video! I love your consistency in producing valuable videos with relevant topics. Cheers!', 'Sir, can you make video on how to get into sports analytics ??', '👍🏽👍🏽', 'Hey Ken,  What did you do with the UFC? Could you create a video or share that on Github? Thanks', 'I watch your videos regularly. Why dont you make a video of making a project from scratch for the beginners.', 'Hi! Thanks Ken. I got some really useful info from your video!', 'Hi Ken\nYou doing an Awesome job my making all this quality informative videos. I wanted to discuss something with you, so is there any way i can shoot you an email? I will really appreciate that!\nRegards']",368,3
https://www.youtube.com/watch?v=Ph5DHoWHW2c,"10,590 views","Mar 10, 2019","[""** 🆕SCARICA l'app DATACLUB ▶️https://play.google.com/store/apps/details?id=it.tensorgen.dataclub\n______________\n** Podcast DataClub: Intelligenza Artificiale e Data Science ▶️  "", 'Finalmente un video chiaro sull\'argomento da chi ci lavora e non da chi si riempe solo la bocca con paroloni che adesso fanno figo. Vorrei chiederti se nel tuo lavoro quando ti imbatti con modelli di AI ti ""serve"" più il saper usare determinati fraemowork o conoscere in maniera approfondita il dietro le quinte delle varie tecniche, ti chiedo questo perché vedendo che quello che c\'è dietro ai modelli di AI è bello complesso mi sorge il dubbio che adesso sia pieno di ""operai"" dell\'AI che si occupano di saper implementare determinati modelli in applicazioni che possono progredire con l\'ausilio della benedetta AI. Continua con questi video che sono sempre super stimolanti per chi è del settore IT o prova a diventarlo come me :)', 'Complimenti, hai appena guadagnato un nuovo iscritto!\nCanale molto interessante e ottime doti di spiegazione! Ottimo lavoro!', 'interessantissimo! Se posso farti una piccola osservazione, in italiano le parole straniere non si declinano, quindi non devi dire ""links, features, ecc"", bensì ""link, feature, ecc."", anche quando sono plurali', 'Tom Riddle?', 'Grazie', ""Ciao Alessandro, ti seguo da poco e mi è piaciuto da subito il tuo lavoro su YouTube e avrei una domanda da collega: sono programmatore junior e mi pongo sempre tante domande prima di creare una nuova struttura per i dati ( tabella mysql ) ... Cosa potresti suggerire a noi programmatori per rendere più semplice e veloce il lavoro di un Data Scientist e l'implementazione di una Intelligenza Artificiale?"", 'Ottimo video. Grazie', 'Ah capisco adesso grazie per il video', 'Ottimo video']",309,10
https://www.youtube.com/watch?v=XohgKT13FKY,"70,737 views","Nov 23, 2017","['This playlist is jumbled after 12th lecture, kindly correct it from official NPTEL website.', 'Very nice intro lecture. Thanks!', 'Is this course cover data quality analysis? please do reply', 'thank you for very brief intro', 'sir is this course feasible for non it background students?', 'this course is only for engineers or anyone ?', 'When this course starts again ?', 'Fantastic course']",238,4
https://www.youtube.com/watch?v=war_DPSJYRU,580 views,"Oct 27, 2018","['Hello, do you have WhatsApp number ?  We wanna talk to you something about business cooperation, no scam , waiting for your reply sir .']",25,0
https://www.youtube.com/watch?v=iTLA8wMmir0,492 views,"Jun 20, 2019",['Thanks for putting up such an informative video about data science'],12,0
https://www.youtube.com/watch?v=Acb_H0TP-Jg,41 views,"Jul 22, 2020",[],4,0
https://www.youtube.com/watch?v=6QVXPNrSbLU,"14,458 views","Aug 3, 2017","[""Incredibly insightful for someone looking to go into data science! It's great to hear some specifics of the job from an actual data scientist at Airbnb."", 'very insightful ..']",227,2
